# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.0036   0.0600   0.1110   Lower   A v -> Y v    CTS_ccl_a_buf_00007
0.0035   0.0600   0.1181   Lower   A v -> Y v    CTS_ccl_a_buf_00005
0.0036   0.0600   0.1128   Lower   A v -> Y v    u_account_balance/CTS_ccl_a_buf_00009
0.0030   0.0168   0.2668   Lower   A v -> Y ^    u_account_balance/g4365
0.0030   0.0168   0.0932   Lower   A v -> Y ^    g224
0.0030   0.0168   0.1099   Lower   AN v -> Y v    g428
0.0030   0.0168   0.2557   Lower   A v -> Y ^    g425
0.6641   0.6120   0.3121   Upper   A v -> Y ^    u_account_balance/g13463
0.6641   0.6120   0.2713   Upper   B v -> Y ^    u_account_balance/g13457
0.6641   0.6120   0.3521   Upper   B v -> Y ^    u_account_balance/g13452
0.0030   0.0168   0.6057   Lower   A v -> Y ^    u_account_balance/g13443
0.6641   0.6120   0.0827   Upper   A1 v -> Y v    u_account_balance/g13484
0.6641   0.6120   0.0780   Upper   A1 v -> Y v    u_account_balance/g13483
0.6641   0.6120   0.0924   Upper   A1 v -> Y v    u_account_balance/g13482
0.6641   0.6120   0.1848   Upper   B1 v -> Y ^    u_account_balance/g13429
0.6641   0.6120   0.1805   Upper   B1 v -> Y ^    u_account_balance/g13428
0.6641   0.6120   0.1997   Upper   B1 v -> Y ^    u_account_balance/g13427
0.6641   0.6120   0.1873   Upper   B1 v -> Y ^    u_account_balance/g13426
0.6641   0.6120   0.2488   Upper   A1 v -> Y ^    u_account_balance/g13424
0.6641   0.6120   0.1829   Upper   B1 v -> Y ^    u_account_balance/g13422
0.6641   0.6120   0.2335   Upper   A1 v -> Y ^    u_account_balance/g13421
0.6641   0.6120   0.1791   Upper   B1 v -> Y ^    u_account_balance/g13420
0.6641   0.6120   0.2381   Upper   B0 v -> Y ^    u_account_balance/g13419
0.6641   0.6120   0.2169   Upper   B0 v -> Y ^    u_account_balance/g13418
0.6641   0.6120   0.2305   Upper   B0 v -> Y ^    u_account_balance/g13416
0.6641   0.6120   0.2426   Upper   B1 v -> Y ^    u_account_balance/g13371
0.6641   0.6120   0.2056   Upper   B v -> Y v    u_account_balance/g13458
0.0030   0.0168   0.0706   Lower   B0 v -> Y ^    g418
0.6432   0.6120   0.1651   Upper   A ^ -> Y v    g221
0.7527   0.6120   0.5748   Upper   A ^ -> Y ^    u_account_balance/g13408
0.7527   0.6120   0.2834   Upper   A ^ -> Y v    u_account_balance/g13431
0.7527   0.6120   0.5817   Upper   A ^ -> Y ^    u_account_balance/g13432
0.7527   0.6120   0.2150   Upper   A ^ -> Y v    u_account_balance/g13411
0.6641   0.6120   0.2058   Upper   A0 v -> Y ^    u_account_balance/g13288
0.6641   0.6120   0.2310   Upper   A v -> Y ^    u_account_balance/g13367
0.7527   0.6120   0.3577   Upper   A ^ -> Y v    u_account_balance/g13447
0.0030   0.0168   0.2525   Lower   B v -> Y ^    u_vehicle_interface/g202
0.0030   0.0168   0.3490   Lower   A v -> Y ^    u_vehicle_interface/g201
0.0030   0.0168   0.3166   Lower   B v -> Y ^    u_barrier_ctrl/g335
0.0030   0.0168   0.5196   Lower   AN v -> Y v    u_barrier_ctrl/g332
0.0030   0.0168   0.4603   Lower   A v -> Y ^    u_barrier_ctrl/g217
0.9498   0.6120   0.2922   Upper   B0 ^ -> Y v    u_account_balance/g13284
0.7527   0.6120   0.1780   Upper   B0 ^ -> Y v    u_account_balance/g13246
0.9498   0.6120   0.2970   Upper   B ^ -> Y v    u_account_balance/g13357
0.0030   0.0168   0.0558   Lower   B0 v -> Y v    u_vehicle_interface/g199
0.6641   0.6120   0.0847   Upper   A1 v -> Y v    u_vehicle_interface/g199
0.0030   0.0168   0.0561   Lower   B0 v -> Y v    u_vehicle_interface/g198
0.0030   0.0168   0.0522   Lower   B0 v -> Y v    u_vehicle_interface/g197
0.0030   0.0168   0.0607   Lower   B0 v -> Y v    u_vehicle_interface/g196
0.9171   0.6120   0.3470   Upper   B1 ^ -> Y v    u_account_balance/g13476
0.9498   0.6120   0.2539   Upper   B1 ^ -> Y v    u_account_balance/g13333
0.9572   0.6120   0.2843   Upper   A1 ^ -> Y v    u_account_balance/g13333
0.9498   0.6120   0.2617   Upper   B0 ^ -> Y v    u_account_balance/g13323
0.9572   0.6120   0.2831   Upper   A0 ^ -> Y v    u_account_balance/g13323
0.9498   0.6120   0.2680   Upper   B0 ^ -> Y v    u_account_balance/g13301
0.9572   0.6120   0.2898   Upper   A0 ^ -> Y v    u_account_balance/g13301
0.9171   0.6120   0.2622   Upper   A0 ^ -> Y v    u_account_balance/g13337
0.9171   0.6120   0.2612   Upper   A1 ^ -> Y v    u_account_balance/g13330
0.9171   0.6120   0.2934   Upper   A1 ^ -> Y v    u_account_balance/g13314
0.9171   0.6120   0.3368   Upper   B1 ^ -> Y v    u_account_balance/g13275
0.9171   0.6120   0.2770   Upper   A1 ^ -> Y v    u_account_balance/g13309
0.9572   0.6120   0.3381   Upper   B1 ^ -> Y v    u_account_balance/g13270
0.9171   0.6120   0.2785   Upper   A1 ^ -> Y v    u_account_balance/g13298
0.9498   0.6120   0.2663   Upper   B0 ^ -> Y v    u_account_balance/g13340
0.9572   0.6120   0.2880   Upper   A0 ^ -> Y v    u_account_balance/g13340
0.9498   0.6120   0.2861   Upper   B0 ^ -> Y v    u_account_balance/g13318
0.9572   0.6120   0.3094   Upper   A0 ^ -> Y v    u_account_balance/g13318
0.0030   0.0168   0.1746   Lower   A0 v -> Y ^    u_barrier_ctrl/g215
0.0030   0.0168   0.0623   Lower   B0 v -> Y v    u_barrier_ctrl/g214
0.9171   0.6120   0.3064   Upper   A1 ^ -> Y v    u_account_balance/g13260
0.9171   0.6120   0.3165   Upper   A1 ^ -> Y v    u_account_balance/g13230
0.6641   0.6120   0.3353   Upper   B v -> Y ^    u_account_balance/g13469
0.6641   0.6120   0.2242   Upper   B v -> Y ^    u_account_balance/g2
0.0030   0.0168   0.1226   Lower   A v -> Y ^    u_account_balance/g13164
0.0030   0.0168   0.0936   Lower   B0 v -> Y ^    g413
