# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.0035   0.0600   0.1096   Lower   A v -> Y v    CTS_ccl_a_buf_00009
0.0033   0.0600   0.1093   Lower   A v -> Y v    CTS_ccl_a_buf_00005
0.0034   0.0600   0.1113   Lower   A v -> Y v    u_account_balance/CTS_ccl_a_buf_00007
0.0034   0.0168   0.2000   Lower   A v -> Y ^    u_account_balance/g4365
0.0030   0.0168   0.2802   Lower   A v -> Y ^    g224
0.0037   0.0168   0.1077   Lower   AN v -> Y v    g428
0.0037   0.0168   0.2427   Lower   A v -> Y ^    g425
0.6809   0.6120   0.3153   Upper   A v -> Y ^    u_account_balance/g13463
0.6809   0.6120   0.2236   Upper   B v -> Y ^    u_account_balance/g13457
0.6809   0.6120   0.3718   Upper   B v -> Y ^    u_account_balance/g13452
0.0034   0.0168   0.5438   Lower   A v -> Y ^    u_account_balance/g13443
0.6809   0.6120   0.2388   Upper   A1 v -> Y ^    u_account_balance/g13421
0.6809   0.6120   0.2321   Upper   A1 v -> Y ^    u_account_balance/g13424
0.6809   0.6120   0.0767   Upper   A1 v -> Y v    u_account_balance/g13484
0.6809   0.6120   0.1037   Upper   A1 v -> Y v    u_account_balance/g13483
0.6809   0.6120   0.0918   Upper   A1 v -> Y v    u_account_balance/g13482
0.6809   0.6120   0.1806   Upper   B1 v -> Y ^    u_account_balance/g13429
0.6809   0.6120   0.1846   Upper   B1 v -> Y ^    u_account_balance/g13428
0.6809   0.6120   0.2015   Upper   B1 v -> Y ^    u_account_balance/g13427
0.6809   0.6120   0.1911   Upper   B1 v -> Y ^    u_account_balance/g13426
0.6809   0.6120   0.1815   Upper   B1 v -> Y ^    u_account_balance/g13422
0.6809   0.6120   0.1952   Upper   B1 v -> Y ^    u_account_balance/g13420
0.6809   0.6120   0.2166   Upper   B0 v -> Y ^    u_account_balance/g13419
0.6809   0.6120   0.2165   Upper   B0 v -> Y ^    u_account_balance/g13418
0.6809   0.6120   0.2149   Upper   B0 v -> Y ^    u_account_balance/g13416
0.6809   0.6120   0.2230   Upper   B1 v -> Y ^    u_account_balance/g13371
0.6809   0.6120   0.1994   Upper   B v -> Y v    u_account_balance/g13458
0.0030   0.0168   0.0777   Lower   B0 v -> Y ^    g418
0.6809   0.6120   0.2039   Upper   A0 v -> Y ^    u_account_balance/g13288
0.6809   0.6120   0.2267   Upper   A v -> Y ^    u_account_balance/g13367
0.7074   0.6120   0.4893   Upper   A ^ -> Y ^    u_account_balance/g13408
0.7074   0.6120   0.2722   Upper   A ^ -> Y v    u_account_balance/g13431
0.7074   0.6120   0.5057   Upper   A ^ -> Y ^    u_account_balance/g13432
0.7074   0.6120   0.2065   Upper   A ^ -> Y v    u_account_balance/g13411
0.7074   0.6120   0.3341   Upper   A ^ -> Y v    u_account_balance/g13447
0.0037   0.0168   0.4213   Lower   B v -> Y ^    u_vehicle_interface/g202
0.0034   0.0168   0.3178   Lower   A v -> Y ^    u_vehicle_interface/g201
0.0037   0.0168   0.3206   Lower   B v -> Y ^    u_barrier_ctrl/g335
0.0037   0.0168   0.4755   Lower   AN v -> Y v    u_barrier_ctrl/g332
0.0037   0.0168   0.4605   Lower   A v -> Y ^    u_barrier_ctrl/g217
0.7074   0.6120   0.1655   Upper   B0 ^ -> Y v    u_account_balance/g13246
0.8074   0.6120   0.2430   Upper   B0 ^ -> Y v    u_account_balance/g13284
0.8074   0.6120   0.2599   Upper   B ^ -> Y v    u_account_balance/g13357
0.0030   0.0168   0.0519   Lower   B0 v -> Y v    u_vehicle_interface/g199
0.6809   0.6120   0.0814   Upper   A1 v -> Y v    u_vehicle_interface/g199
0.0030   0.0168   0.0509   Lower   B0 v -> Y v    u_vehicle_interface/g198
0.0030   0.0168   0.0540   Lower   B0 v -> Y v    u_vehicle_interface/g197
0.0030   0.0168   0.0534   Lower   B0 v -> Y v    u_vehicle_interface/g196
0.7754   0.6120   0.3074   Upper   B1 ^ -> Y v    u_account_balance/g13476
0.7754   0.6120   0.2364   Upper   A1 ^ -> Y v    u_account_balance/g13309
0.7754   0.6120   0.3107   Upper   B1 ^ -> Y v    u_account_balance/g13275
0.8074   0.6120   0.2579   Upper   B0 ^ -> Y v    u_account_balance/g13323
0.7536   0.6120   0.2689   Upper   A0 ^ -> Y v    u_account_balance/g13323
0.8074   0.6120   0.2276   Upper   B0 ^ -> Y v    u_account_balance/g13301
0.7536   0.6120   0.2378   Upper   A0 ^ -> Y v    u_account_balance/g13301
0.7754   0.6120   0.2293   Upper   A0 ^ -> Y v    u_account_balance/g13337
0.7754   0.6120   0.2412   Upper   A1 ^ -> Y v    u_account_balance/g13330
0.7536   0.6120   0.2691   Upper   B1 ^ -> Y v    u_account_balance/g13270
0.7754   0.6120   0.2475   Upper   A1 ^ -> Y v    u_account_balance/g13314
0.7754   0.6120   0.2811   Upper   A1 ^ -> Y v    u_account_balance/g13298
0.8074   0.6120   0.2106   Upper   B0 ^ -> Y v    u_account_balance/g13340
0.7536   0.6120   0.2209   Upper   A0 ^ -> Y v    u_account_balance/g13340
0.8074   0.6120   0.2096   Upper   B1 ^ -> Y v    u_account_balance/g13333
0.7536   0.6120   0.2285   Upper   A1 ^ -> Y v    u_account_balance/g13333
0.8074   0.6120   0.2110   Upper   B0 ^ -> Y v    u_account_balance/g13318
0.7536   0.6120   0.2213   Upper   A0 ^ -> Y v    u_account_balance/g13318
0.0037   0.0168   0.1379   Lower   A0 v -> Y ^    u_barrier_ctrl/g215
0.0037   0.0168   0.0467   Lower   B0 v -> Y v    u_barrier_ctrl/g214
0.7754   0.6120   0.2960   Upper   A1 ^ -> Y v    u_account_balance/g13260
0.7754   0.6120   0.3078   Upper   A1 ^ -> Y v    u_account_balance/g13230
0.6897   0.6120   0.1571   Upper   B v -> Y v    u_account_balance/g13184
0.6897   0.6120   0.4262   Upper   A v -> Y ^    u_account_balance/g13180
0.6897   0.6120   0.3017   Upper   A0 v -> Y v    u_account_balance/g13178
0.6809   0.6120   0.3463   Upper   B v -> Y ^    u_account_balance/g13469
0.6809   0.6120   0.2217   Upper   B v -> Y ^    u_account_balance/g2
0.0037   0.0168   0.0955   Lower   A v -> Y ^    u_account_balance/g13164
0.0030   0.0168   0.0966   Lower   B0 v -> Y ^    g413
0.6288   0.6120   0.2619   Upper   A ^ -> Y v    u_account_balance/g4355
0.7074   0.6120   0.7312   Upper   B ^ -> Y ^    u_account_balance/g13159
0.7517   0.6120   0.4100   Upper   A v -> Y ^    u_account_balance/g4350
0.6288   0.6120   0.0825   Upper   B0 ^ -> Y ^    u_account_balance/g4318
0.6606   0.6120   0.0830   Upper   A0 v -> Y v    u_account_balance/g4318
0.6288   0.6120   0.0775   Upper   B0 ^ -> Y ^    u_account_balance/g4317
0.6606   0.6120   0.0786   Upper   A0 v -> Y v    u_account_balance/g4317
0.6288   0.6120   0.0792   Upper   B0 ^ -> Y ^    u_account_balance/g4315
0.6606   0.6120   0.0801   Upper   A0 v -> Y v    u_account_balance/g4315
0.6288   0.6120   0.0822   Upper   B0 ^ -> Y ^    u_account_balance/g4314
0.6606   0.6120   0.0827   Upper   A0 v -> Y v    u_account_balance/g4314
0.6288   0.6120   0.0833   Upper   B0 ^ -> Y ^    u_account_balance/g4312
0.6606   0.6120   0.0837   Upper   A0 v -> Y v    u_account_balance/g4312
0.6288   0.6120   0.0850   Upper   B0 ^ -> Y ^    u_account_balance/g4311
0.6606   0.6120   0.0853   Upper   A0 v -> Y v    u_account_balance/g4311
0.6288   0.6120   0.0833   Upper   B0 ^ -> Y ^    u_account_balance/g4280
0.6606   0.6120   0.0838   Upper   A0 v -> Y v    u_account_balance/g4280
0.6606   0.6120   0.1922   Upper   A v -> Y ^    u_account_balance/g4338
0.6606   0.6120   0.1913   Upper   A v -> Y ^    u_account_balance/g4337
0.6606   0.6120   0.1973   Upper   A v -> Y ^    u_account_balance/g4336
0.6606   0.6120   0.2064   Upper   A v -> Y ^    u_account_balance/g4333
0.6606   0.6120   0.1900   Upper   A v -> Y ^    u_account_balance/g4326
0.7395   0.6120   0.2045   Upper   A v -> Y ^    u_account_balance/g4332
0.7395   0.6120   0.2107   Upper   A v -> Y ^    u_account_balance/g4331
0.7395   0.6120   0.2090   Upper   A v -> Y ^    u_account_balance/g4330
0.7395   0.6120   0.2090   Upper   A v -> Y ^    u_account_balance/g4328
0.7395   0.6120   0.2012   Upper   A v -> Y ^    u_account_balance/g4327
0.7395   0.6120   0.2002   Upper   A v -> Y ^    u_account_balance/g4325
0.7395   0.6120   0.2134   Upper   A v -> Y ^    u_account_balance/g4324
