# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.0035   0.0600   0.1125   Lower   A v -> Y v    CTS_ccl_a_buf_00009
0.0033   0.0600   0.1093   Lower   A v -> Y v    CTS_ccl_a_buf_00005
0.0034   0.0600   0.1114   Lower   A v -> Y v    u_account_balance/CTS_ccl_a_buf_00007
0.0034   0.0168   0.2000   Lower   A v -> Y ^    u_account_balance/g4365
0.0030   0.0168   0.2803   Lower   A v -> Y ^    g224
0.0037   0.0168   0.1077   Lower   AN v -> Y v    g428
0.0037   0.0168   0.2429   Lower   A v -> Y ^    g425
0.6814   0.6120   0.3155   Upper   A v -> Y ^    u_account_balance/g13463
0.6814   0.6120   0.2237   Upper   B v -> Y ^    u_account_balance/g13457
0.6814   0.6120   0.3719   Upper   B v -> Y ^    u_account_balance/g13452
0.0034   0.0168   0.5438   Lower   A v -> Y ^    u_account_balance/g13443
0.6814   0.6120   0.2704   Upper   A1 v -> Y ^    u_account_balance/g13421
0.6814   0.6120   0.2643   Upper   A1 v -> Y ^    u_account_balance/g13424
0.6814   0.6120   0.0786   Upper   A1 v -> Y v    u_account_balance/g13484
0.6814   0.6120   0.1049   Upper   A1 v -> Y v    u_account_balance/g13483
0.6814   0.6120   0.0935   Upper   A1 v -> Y v    u_account_balance/g13482
0.6814   0.6120   0.2043   Upper   B1 v -> Y ^    u_account_balance/g13429
0.6814   0.6120   0.2088   Upper   B1 v -> Y ^    u_account_balance/g13428
0.6814   0.6120   0.2272   Upper   B1 v -> Y ^    u_account_balance/g13427
0.6814   0.6120   0.2158   Upper   B1 v -> Y ^    u_account_balance/g13426
0.6814   0.6120   0.2054   Upper   B1 v -> Y ^    u_account_balance/g13422
0.6814   0.6120   0.2204   Upper   B1 v -> Y ^    u_account_balance/g13420
0.6814   0.6120   0.2435   Upper   B0 v -> Y ^    u_account_balance/g13419
0.6814   0.6120   0.2434   Upper   B0 v -> Y ^    u_account_balance/g13418
0.6814   0.6120   0.2414   Upper   B0 v -> Y ^    u_account_balance/g13416
0.6814   0.6120   0.2562   Upper   B1 v -> Y ^    u_account_balance/g13371
0.6814   0.6120   0.1995   Upper   B v -> Y v    u_account_balance/g13458
0.0030   0.0168   0.1171   Lower   B0 v -> Y ^    g418
0.6814   0.6120   0.2320   Upper   A0 v -> Y ^    u_account_balance/g13288
0.6814   0.6120   0.2269   Upper   A v -> Y ^    u_account_balance/g13367
0.7085   0.6120   0.4898   Upper   A ^ -> Y ^    u_account_balance/g13408
0.7085   0.6120   0.2724   Upper   A ^ -> Y v    u_account_balance/g13431
0.7085   0.6120   0.5060   Upper   A ^ -> Y ^    u_account_balance/g13432
0.7085   0.6120   0.2067   Upper   A ^ -> Y v    u_account_balance/g13411
0.7085   0.6120   0.3344   Upper   A ^ -> Y v    u_account_balance/g13447
0.0037   0.0168   0.4213   Lower   B v -> Y ^    u_vehicle_interface/g202
0.0034   0.0168   0.3183   Lower   A v -> Y ^    u_vehicle_interface/g201
0.0037   0.0168   0.3206   Lower   B v -> Y ^    u_barrier_ctrl/g335
0.0037   0.0168   0.4755   Lower   AN v -> Y v    u_barrier_ctrl/g332
