# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.6646   0.6120   0.3124   Upper   A v -> Y ^    u_account_balance/g13463
0.6646   0.6120   0.2714   Upper   B v -> Y ^    u_account_balance/g13457
0.6646   0.6120   0.3522   Upper   B v -> Y ^    u_account_balance/g13452
0.6646   0.6120   0.0846   Upper   A1 v -> Y v    u_account_balance/g13484
0.6646   0.6120   0.0799   Upper   A1 v -> Y v    u_account_balance/g13483
0.6646   0.6120   0.0940   Upper   A1 v -> Y v    u_account_balance/g13482
0.6646   0.6120   0.2091   Upper   B1 v -> Y ^    u_account_balance/g13429
0.6646   0.6120   0.2044   Upper   B1 v -> Y ^    u_account_balance/g13428
0.6646   0.6120   0.2254   Upper   B1 v -> Y ^    u_account_balance/g13427
0.6646   0.6120   0.2119   Upper   B1 v -> Y ^    u_account_balance/g13426
0.6646   0.6120   0.2790   Upper   A1 v -> Y ^    u_account_balance/g13424
0.6646   0.6120   0.2071   Upper   B1 v -> Y ^    u_account_balance/g13422
0.6646   0.6120   0.2648   Upper   A1 v -> Y ^    u_account_balance/g13421
0.6646   0.6120   0.2028   Upper   B1 v -> Y ^    u_account_balance/g13420
0.6646   0.6120   0.2716   Upper   B0 v -> Y ^    u_account_balance/g13419
0.6646   0.6120   0.2449   Upper   B0 v -> Y ^    u_account_balance/g13418
0.6646   0.6120   0.2619   Upper   B0 v -> Y ^    u_account_balance/g13416
0.6646   0.6120   0.2824   Upper   B1 v -> Y ^    u_account_balance/g13371
0.6646   0.6120   0.2057   Upper   B v -> Y v    u_account_balance/g13458
0.6432   0.6120   0.1651   Upper   A ^ -> Y v    g221
0.7540   0.6120   0.5754   Upper   A ^ -> Y ^    u_account_balance/g13408
0.7540   0.6120   0.2837   Upper   A ^ -> Y v    u_account_balance/g13431
0.7540   0.6120   0.5820   Upper   A ^ -> Y ^    u_account_balance/g13432
0.7540   0.6120   0.2153   Upper   A ^ -> Y v    u_account_balance/g13411
0.6646   0.6120   0.2332   Upper   A0 v -> Y ^    u_account_balance/g13288
0.6646   0.6120   0.2311   Upper   A v -> Y ^    u_account_balance/g13367
0.7540   0.6120   0.3581   Upper   A ^ -> Y v    u_account_balance/g13447
0.9498   0.6120   0.3272   Upper   B0 ^ -> Y v    u_account_balance/g13284
0.7540   0.6120   0.1994   Upper   B0 ^ -> Y v    u_account_balance/g13246
0.9498   0.6120   0.2970   Upper   B ^ -> Y v    u_account_balance/g13357
0.6646   0.6120   0.0865   Upper   A1 v -> Y v    u_vehicle_interface/g199
0.9197   0.6120   0.3825   Upper   B1 ^ -> Y v    u_account_balance/g13476
0.9498   0.6120   0.2816   Upper   B1 ^ -> Y v    u_account_balance/g13333
0.9653   0.6120   0.3063   Upper   A1 ^ -> Y v    u_account_balance/g13333
0.9498   0.6120   0.2799   Upper   B0 ^ -> Y v    u_account_balance/g13323
0.9653   0.6120   0.3000   Upper   A0 ^ -> Y v    u_account_balance/g13323
0.9498   0.6120   0.2858   Upper   B0 ^ -> Y v    u_account_balance/g13301
0.9653   0.6120   0.3064   Upper   A0 ^ -> Y v    u_account_balance/g13301
0.9197   0.6120   0.2783   Upper   A0 ^ -> Y v    u_account_balance/g13337
0.9197   0.6120   0.2833   Upper   A1 ^ -> Y v    u_account_balance/g13330
0.9197   0.6120   0.3119   Upper   A1 ^ -> Y v    u_account_balance/g13314
0.9197   0.6120   0.3738   Upper   B1 ^ -> Y v    u_account_balance/g13275
0.9197   0.6120   0.2973   Upper   A1 ^ -> Y v    u_account_balance/g13309
0.9653   0.6120   0.3601   Upper   B1 ^ -> Y v    u_account_balance/g13270
0.9197   0.6120   0.2986   Upper   A1 ^ -> Y v    u_account_balance/g13298
0.9498   0.6120   0.2842   Upper   B0 ^ -> Y v    u_account_balance/g13340
0.9653   0.6120   0.3046   Upper   A0 ^ -> Y v    u_account_balance/g13340
0.9498   0.6120   0.3027   Upper   B0 ^ -> Y v    u_account_balance/g13318
0.9653   0.6120   0.3249   Upper   A0 ^ -> Y v    u_account_balance/g13318
0.9197   0.6120   0.3308   Upper   A1 ^ -> Y v    u_account_balance/g13260
0.9197   0.6120   0.3416   Upper   A1 ^ -> Y v    u_account_balance/g13230
0.6696   0.6120   0.2165   Upper   A ^ -> Y v    u_account_balance/g3405
0.6646   0.6120   0.3354   Upper   B v -> Y ^    u_account_balance/g13469
0.6646   0.6120   0.2243   Upper   B v -> Y ^    u_account_balance/g2
0.6887   0.6120   0.3458   Upper   A ^ -> Y v    u_account_balance/g4355
0.7540   0.6120   0.9542   Upper   B ^ -> Y ^    u_account_balance/g13159
0.6144   0.6120   0.3696   Upper   A v -> Y ^    u_account_balance/g4350
0.6887   0.6120   0.0897   Upper   B0 ^ -> Y ^    u_account_balance/g4318
0.6670   0.6120   0.0840   Upper   A0 v -> Y v    u_account_balance/g4318
0.6679   0.6120   0.0808   Upper   B1 v -> Y v    u_account_balance/g4317
0.6887   0.6120   0.0835   Upper   B0 ^ -> Y ^    u_account_balance/g4317
0.6670   0.6120   0.0789   Upper   A0 v -> Y v    u_account_balance/g4317
0.6442   0.6120   0.0840   Upper   B1 v -> Y v    u_account_balance/g4315
0.6887   0.6120   0.0888   Upper   B0 ^ -> Y ^    u_account_balance/g4315
0.6670   0.6120   0.0833   Upper   A0 v -> Y v    u_account_balance/g4315
0.6197   0.6120   0.0845   Upper   B1 v -> Y v    u_account_balance/g4314
0.6887   0.6120   0.0907   Upper   B0 ^ -> Y ^    u_account_balance/g4314
0.6670   0.6120   0.0849   Upper   A0 v -> Y v    u_account_balance/g4314
0.6887   0.6120   0.0952   Upper   B0 ^ -> Y ^    u_account_balance/g4312
0.6670   0.6120   0.0888   Upper   A0 v -> Y v    u_account_balance/g4312
0.6887   0.6120   0.0871   Upper   B0 ^ -> Y ^    u_account_balance/g4311
0.6670   0.6120   0.0818   Upper   A0 v -> Y v    u_account_balance/g4311
0.6977   0.6120   0.0884   Upper   B1 v -> Y v    u_account_balance/g4280
0.6887   0.6120   0.0915   Upper   B0 ^ -> Y ^    u_account_balance/g4280
0.6670   0.6120   0.0856   Upper   A0 v -> Y v    u_account_balance/g4280
0.6670   0.6120   0.2094   Upper   A v -> Y ^    u_account_balance/g4338
0.6670   0.6120   0.1923   Upper   A v -> Y ^    u_account_balance/g4337
0.6670   0.6120   0.2333   Upper   A v -> Y ^    u_account_balance/g4336
0.6670   0.6120   0.1955   Upper   A v -> Y ^    u_account_balance/g4333
0.6670   0.6120   0.2017   Upper   A v -> Y ^    u_account_balance/g4326
0.8426   0.6120   0.2470   Upper   A v -> Y ^    u_account_balance/g4332
0.8426   0.6120   0.2347   Upper   A v -> Y ^    u_account_balance/g4331
0.8426   0.6120   0.2318   Upper   A v -> Y ^    u_account_balance/g4330
0.8426   0.6120   0.2333   Upper   A v -> Y ^    u_account_balance/g4328
0.8426   0.6120   0.2286   Upper   A v -> Y ^    u_account_balance/g4327
0.8426   0.6120   0.2298   Upper   A v -> Y ^    u_account_balance/g4325
0.8426   0.6120   0.2300   Upper   A v -> Y ^    u_account_balance/g4324
0.6442   0.6120   0.0840   Upper   B1 v -> Y v    u_account_balance/g4313
0.6977   0.6120   0.0828   Upper   B1 v -> Y v    u_account_balance/g4321
0.6679   0.6120   0.0944   Upper   B1 v -> Y v    u_account_balance/g4316
0.6197   0.6120   0.0860   Upper   B1 v -> Y v    u_account_balance/g4310
0.6977   0.6120   0.0903   Upper   B1 v -> Y v    u_account_balance/g4309
0.8426   0.6120   0.0944   Upper   A0 v -> Y v    u_account_balance/g4309
0.8426   0.6120   0.0971   Upper   A0 v -> Y v    u_account_balance/g4308
0.6679   0.6120   0.0919   Upper   B1 v -> Y v    u_account_balance/g4307
0.8426   0.6120   0.0975   Upper   A0 v -> Y v    u_account_balance/g4307
0.6442   0.6120   0.0817   Upper   B1 v -> Y v    u_account_balance/g4306
0.8426   0.6120   0.0875   Upper   A0 v -> Y v    u_account_balance/g4306
0.6197   0.6120   0.0812   Upper   B1 v -> Y v    u_account_balance/g4304
0.8426   0.6120   0.0880   Upper   A0 v -> Y v    u_account_balance/g4304
0.8426   0.6120   0.0874   Upper   A0 v -> Y v    u_account_balance/g4302
0.6144   0.6120   0.2598   Upper   A1 v -> Y ^    u_account_balance/g4303
0.6144   0.6120   0.2481   Upper   A1 v -> Y ^    u_account_balance/g4291
0.6144   0.6120   0.2282   Upper   A1 v -> Y ^    u_account_balance/g4290
0.6144   0.6120   0.2319   Upper   A1 v -> Y ^    u_account_balance/g4288
0.6144   0.6120   0.2524   Upper   A1 v -> Y ^    u_account_balance/g4287
0.6144   0.6120   0.2456   Upper   A1 v -> Y ^    u_account_balance/g4286
0.6144   0.6120   0.2429   Upper   A1 v -> Y ^    u_account_balance/g4284
